id,link,guest_id
01426827-429d-4906-9d2f-a2aa68d1fc7c,https://www.linkedin.com/in/ritakozlov/,f958e9fa-de3a-45f0-9ef5-7ed54072cf7d
01b7fa00-9886-4c89-bada-1ba964f824d8,https://infra.social/@eduardoboucas,219b22d1-460f-40ce-b33a-eb3138fc672c
0dd8fae2-4345-4f4a-bee9-0845a84b3b32,https://www.youtube.com/channel/UC8ENHE5xdFSwx71u3fDH5Xw,4533bbe8-ae0a-4257-995c-9ad14f43ccc5
0e8ba20a-3b2d-4868-87f3-5f6146039577,https://www.youtube.com/@ryansolid,2d4a809a-afca-4a7e-a050-0eb62ff8f9a5
175b5049-86c1-449f-b443-a0282a3b1401,https://www.instagram.com/travisneilson/,4ea1905b-b1e6-492a-9b71-3a19d9db9472
1c681050-a70a-4360-b116-405078743d74,https://www.youtube.com/@brad_frost,71f74245-7d69-483a-b838-0619ea9cbecd
1d9172ff-252f-49bb-95fc-cfd1c83c3112,https://www.linkedin.com/in/eastdavid/,ea9fc336-36f5-4df5-b596-f1ffa82381ad
22bcf3b8-5632-44ef-b9cd-f65dff4489e9,https://mastodon.social/@davatron5000,b6fa1079-3c0d-4d81-ad8c-91d481f17be5
22cbb35c-55de-4b6d-bbb3-39ba93ff02e4,https://codepen.io/bradfrost/,71f74245-7d69-483a-b838-0619ea9cbecd
23335daf-8097-4472-b9bf-7eb58f955a5b,https://www.linkedin.com/in/andreymishchenko,48beb7d1-5408-4d62-8cc1-99c357670a42
2566388d-9120-4b86-b7f7-4fe789dcd825,https://www.twitch.tv/jlengstorf,a74bf07a-6368-4c17-aa4a-9f60bd915a41
26540d07-e63f-494c-9d84-4b6c8e079164,https://codepen.io/sdras/,6b6958a3-c137-4018-9763-748928cef6e3
2852886b-9759-4391-9419-f14d39a797ff,https://dev.to/ryansolid,2d4a809a-afca-4a7e-a050-0eb62ff8f9a5
28704198-649e-458f-bc40-b74d4a2def13,https://codepen.io/HipsterBrown/,9203b224-45a5-4450-ae4b-cfba7fc7877e
2a4f17c2-4671-4b9b-a117-1b2a24f613e3,https://www.tiktok.com/@bdougieyo,9d81aee0-7ae1-4b96-92b0-b52dc5e9cc24
2d2f60d8-648d-4bdc-9999-8da488abdaa7,https://www.youtube.com/c/JonnyBurger,663038fa-4ce4-49a4-9dec-9366c7d24777
310cb90a-8150-4637-94bd-31a0219df2a6,https://www.linkedin.com/in/arminronacher/?originalSubdomain=at,e261d4b7-0213-43fe-b262-e9eb10ba0222
32d11db5-c298-490d-b83e-447dc38db592,http://bentlegen.bsky.social/,b58c4e02-25a9-4180-85a6-454fe74a1c0e
3520050c-78ea-485c-9304-64ebb263b2f9,https://www.linkedin.com/in/johanssonalexander/,c050735b-0fab-4fd5-a65e-8000c4e6cb8c
38769db7-b3dd-418f-a7f1-f7740faa66bc,https://www.youtube.com/whitep4nth3r,d0ed1922-2127-4b09-9238-658fd45270b9
3bdd69a9-be8a-4744-9a03-7802abaa1123,https://www.linkedin.com/in/stuart-bloxham-a36197121/,5c1b28d2-40a4-4a26-ba91-e721420a2140
3c472987-d470-45b6-ac2e-970366e5d731,https://youtube.com/c/paulinenarvas,76b31178-64fb-4580-bcd0-4a29d14aa200
3e1c5d2c-0b72-41db-ac33-d5424299fc71,https://medium.com/@filipenevola,c545c6d4-e023-4a1a-9d38-744a39c49bcb
43115999-d9de-4d2d-84cd-844da7e9ef6b,https://www.linkedin.com/in/timmcnamaranz/,995f373e-b121-4a35-b979-456b7dcd3d02
44e09729-4fca-40c5-b3b1-4706c8492981,https://www.youtube.com/travisneilson/,4ea1905b-b1e6-492a-9b71-3a19d9db9472
471c7e6b-02d3-4c1a-9969-2e8fa38e0048,https://www.linkedin.com/in/brendanirvinebroque/,d1cb4ef4-a466-441e-9c39-621fc9be7ef1
537fa95a-ae5c-41ba-a5e5-dbb112c2fee9,https://twitch.tv/jlengstorf,a74bf07a-6368-4c17-aa4a-9f60bd915a41
56cc7ffe-1609-4cca-9eed-ca3febe5d364,https://www.instagram.com/jonnyburger/,663038fa-4ce4-49a4-9dec-9366c7d24777
5788853d-074f-4935-bdf9-19f5f13bc2b1,https://www.twitch.tv/bdougieyo,9d81aee0-7ae1-4b96-92b0-b52dc5e9cc24
