id,showId,guestId,transcriptId
02271a9d-7e00-4a54-b68a-c2514550147d,syntax_podcast_show_00517,9d81aee0-7ae1-4b96-92b0-b52dc5e9cc24,
0516c159-605a-43ff-955b-1f477a3fed8f,syntax_podcast_show_00625,48beb7d1-5408-4d62-8cc1-99c357670a42,
0841a475-4783-48aa-a28a-0e182883711c,syntax_podcast_show_00694,abd451b9-cb29-4405-9545-7b8f80edddbb,
08a17367-ae96-4c40-a8a3-aaebc9e10e87,syntax_podcast_show_00619,f0a8feb0-1099-4558-9082-1e4370d4f5ba,
14fedc3c-f1b1-4156-b568-e2d8aca4cf5e,syntax_podcast_show_00340,371cf332-28fa-47c6-a3e3-52eefa857a18,
18ff6126-2717-4924-8cfe-8db1497bd1be,syntax_podcast_show_00523,30cea231-c01f-4648-ba50-74a423e0d96a,
1a1eea35-181b-4ca1-b275-789239a2d6c6,syntax_podcast_show_00661,8e119f0b-509f-476d-a345-88efb7c7cb4e,
1a7ff3ae-fe6d-467d-b1c7-d3126fd5ac21,syntax_podcast_show_00310,a248f3e6-f6af-4a23-91a6-78b46186a78e,
1e18d2ce-8d0d-4c52-a3a9-f2b8c9183d04,syntax_podcast_show_00604,6022b551-db63-46d3-bef2-8b259d6c143f,
1e854779-9bea-48a6-bc95-bb361fffd2d0,syntax_podcast_show_00274,6a182a69-4623-42f7-afc9-d2f8e958ba87,
1f418fb2-d6a2-4e61-9d9a-cf70decb2df3,syntax_podcast_show_00472,219b22d1-460f-40ce-b33a-eb3138fc672c,
1fbaaf57-b10b-430d-ac11-92745a9ae73d,syntax_podcast_show_00568,f429e4ad-c57e-41c5-bec9-6d2cbda32185,
1fe9c3b5-c3fa-47e6-bf59-4f6215c4ab5e,syntax_podcast_show_00460,1caeb787-4955-4574-80a6-96e6c0961903,
21710d59-fe34-4545-8501-261f175fcfc2,syntax_podcast_show_00532,8b54e975-a2e9-483f-af27-3e39e0eccf7c,
23cdad01-cf62-4f88-a5a7-4c147270b14d,syntax_podcast_show_00550,663038fa-4ce4-49a4-9dec-9366c7d24777,
26f61478-037a-4465-a73b-fb92701ea75a,syntax_podcast_show_00589,b7557b7f-4149-4f4d-a04b-a044edbba790,
278398ba-0481-432c-a92f-c1d4cc08f94c,syntax_podcast_show_00463,775d9f6c-4667-4580-94ff-1e6b1e224be0,
2872f5a1-3913-4fef-b7bf-1654f776071c,syntax_podcast_show_00586,45786191-aeb9-4893-9686-d62ce35a147c,
2cad9e01-979a-4e12-965d-81eceff6a51e,syntax_podcast_show_00628,9203b224-45a5-4450-ae4b-cfba7fc7877e,
2fa1ebc7-22a6-48be-85a2-c3be367f1c99,syntax_podcast_show_00529,2d41a747-5825-4efd-a9e6-f65b4fdbf1f7,
304b1b20-5289-4f30-96e0-bdaf9a2f3c58,syntax_podcast_show_00655,b762f167-5fb3-4014-a15b-22366bbed6f9,
320de112-fd21-4849-8ac1-9ea7bbbeb964,syntax_podcast_show_00592,4ea1905b-b1e6-492a-9b71-3a19d9db9472,
34a679cd-cddc-44a1-ae60-9c3e8e1e1127,syntax_podcast_show_00574,79d92bbd-e53d-4b83-87f3-d5106105a390,
36a75e61-c8a2-43e1-831b-9c5e99b0f706,syntax_podcast_show_00176,be433cf8-8380-4bb5-b205-149b7754c62c,
3a07b5df-ff1a-4b6a-b358-0c61adffbb3e,syntax_podcast_show_00412,e5baa84e-7550-45c3-9e10-72a1b2bf3c37,
3dded444-ca2f-4017-89b0-3f4c4a883389,syntax_podcast_show_00206,419d9a6a-234a-4b01-945e-ebd4a19a1124,
430ee1f6-727f-47cb-bdb2-65c213316fc8,syntax_podcast_show_00493,b9334d13-6154-4032-9c58-7e22a512f82e,
47241dcc-88b2-4f18-9394-9c88fd6ccfde,syntax_podcast_show_00676,ea9fc336-36f5-4df5-b596-f1ffa82381ad,
49bdfb38-d427-4768-8733-0cfc6965105c,syntax_podcast_show_00658,d7cdad8d-4407-4d8b-aaac-c54a01987bb5,
4ac92b98-23e2-4427-ad17-f7b0348ed91d,syntax_podcast_show_00430,b2f163e4-39ce-4844-9f00-5a5c5adb5a14,
4b1e5a4b-8927-4944-921c-c806436423c5,syntax_podcast_show_00562,fe1763f2-2c8b-463f-83a5-28a7c105d739,
53c18ce1-d2fa-49a4-8356-fa6f0baf501f,syntax_podcast_show_00643,8a99f927-3ee6-495b-aa32-0214520460ad,
543c8786-7449-4fc9-ab4e-5bb51a4c8343,syntax_podcast_show_00160,3bfcb059-2cb9-40a2-a77a-a89971d8948b,
57da99b1-e0c7-4e52-be3c-d94346452fd5,syntax_podcast_show_00434,b58c4e02-25a9-4180-85a6-454fe74a1c0e,
598e0ba6-e9f2-4255-b9d5-57912293c3a0,syntax_podcast_show_00685,a74bf07a-6368-4c17-aa4a-9f60bd915a41,
59c0a0b7-1a00-4c7a-8144-356f89c5ab92,syntax_podcast_show_00679,94981948-8a1b-4e2b-9228-b1fc4f02e451,
