id,name,url,timestamp,showNote
1,Syntax Survey,https://syntax.fm/survey,00:00,2
2,Syntax Toronto Meetup,https://syntax.fm/meetup,00:24,2
3,Sentry,https://sentry.io/,02:10,2
4,Century,https://century.io/,02:33,2
5,Bun JS,https://bun.sh/,02:47,2
6,Hasura,https://hasura.io/,32:51,2
7,Algolia,https://www.algolia.com/,32:58,2
8,Stripe,https://stripe.com/,32:58,2
9,Capacitor,https://capacitorjs.com/,32:58,2
10,Headings Map (Firefox),https://addons.mozilla.org/en-US/firefox/addon/headingsmap/,22:34,3
11,Headings Map (Chrome),https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi?hl=en,22:34,3
12,ally.ac,https://www.ally.ac/,22:19,3
13,Guidance Counselor podcast,https://podcasts.apple.com/us/podcast/the-guidance-counselor/id1499882229,55:24,4
14,Unicorn Finders podcast,https://podcasts.apple.com/us/podcast/unicorn-finders/id1608561091,55:32,4
15,"Taylor's website",https://www.tdesseyn.com/,55:44,4
16,State of CSS Survey,https://stateofcss.com,00:21,5
17,Sentry,https://sentry.io,03:59,5
18,Kodiak Cakes,https://kodiakcakes.com/,56:09,5
19,Beba Clip Containers,https://bebacomfort.com/products/beba-clip-container,55:29,5
20,FITC Web Unleashed,https://fitc.ca/event/webu22/,58:25,5
21,Syntax TikTok,https://www.tiktok.com/@syntaxfm,01:00:08,5
22,Tori,https://tori.js.org/,00:00,6
23,Electron,https://electronjs.org/,00:00,6
24,Psychology Today,https://www.psychologytoday.com,22:14,7
25,Headspace,https://www.headspace.com,27:15,7
26,Calm,https://www.calm.com,27:22,7
27,Svelte,https://svelte.dev/,00:02:24,8
28,SvelteKit,https://kit.svelte.dev/,00:03:25,8
29,Prisma,https://www.prisma.io/,00:21:05,8
30,Charles Proxy,https://www.charlesproxy.com/,16:45,9
31,Proxyman,https://proxyman.io,25:25,9
32,HTTP Toolkit,https://httptoolkit.tech/,26:55,9
33,mitmproxy,https://mitmproxy.org/,28:56,9
34,Little Snitch,https://www.obdev.at/products/littlesnitch/index.html,29:43,9
35,Fiddler,https://www.telerik.com/fiddler,32:10,9
36,"Stuart's Portfolio",https://www.stuartblockson.tech/,26:29,10
37,Sentry,https://sentry.io,00:11,11
38,Vampire Survivors,https://store.steampowered.com/app/1794680/Vampire_Survivors/,36:29,11
